program_code,region,model_line,my,term_months,model_code,model_description,bonus_cash,apr_tier_1,apr_tier_2,apr_tier_3,apr_tier_4,apr_tier_5,apr_tier_6,apr_tier_7,apr_tier_8
H700,MS,ELANTRA,2026,24,494E2F4S,4dr Sdn SE,500,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1149
H700,MS,ELANTRA,2026,24,494G2F4S,4dr Sdn SEL Sport,500,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1149
H700,MS,ELANTRA,2026,24,494K2F4S,4dr Sdn SEL Sport Premium,500,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1149
H700,MS,ELANTRA,2026,24,494L2FT5,4dr Sdn N-Line,500,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1149
H700,MS,ELANTRA,2026,24,494M2F4S,4dr Sdn Limited,500,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1149
H700,MS,ELANTRA,2026,25-36,494E2F4S,4dr Sdn SE,500,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1149
H700,MS,ELANTRA,2026,25-36,494G2F4S,4dr Sdn SEL Sport,500,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1149
H700,MS,ELANTRA,2026,25-36,494K2F4S,4dr Sdn SEL Sport Premium,500,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1149
H700,MS,ELANTRA,2026,25-36,494L2FT5,4dr Sdn N-Line,500,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1149
H700,MS,ELANTRA,2026,25-36,494M2F4S,4dr Sdn Limited,500,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1149
H700,MS,ELANTRA,2026,37-48,494E2F4S,4dr Sdn SE,500,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1149
H700,MS,ELANTRA,2026,37-48,494G2F4S,4dr Sdn SEL Sport,500,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1149
H700,MS,ELANTRA,2026,37-48,494K2F4S,4dr Sdn SEL Sport Premium,500,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1149
H700,MS,ELANTRA,2026,37-48,494L2FT5,4dr Sdn N-Line,500,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1149
H700,MS,ELANTRA,2026,37-48,494M2F4S,4dr Sdn Limited,500,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1149
H700,MS,ELANTRA,2026,49-60,494E2F4S,4dr Sdn SE,500,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1149
H700,MS,ELANTRA,2026,49-60,494G2F4S,4dr Sdn SEL Sport,500,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1149
H700,MS,ELANTRA,2026,49-60,494K2F4S,4dr Sdn SEL Sport Premium,500,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1149
H700,MS,ELANTRA,2026,49-60,494L2FT5,4dr Sdn N-Line,500,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1149
H700,MS,ELANTRA,2026,49-60,494M2F4S,4dr Sdn Limited,500,0.0399,0.0399,0.0499,0.0599,0.0799,0.0899,0.0999,0.1149
H700,MS,ELANTRA,2026,61-72,494E2F4S,4dr Sdn SE,500,0.0499,0.0499,0.0599,0.0699,0.0899,0.0999,0.1099,0.1249
H700,MS,ELANTRA,2026,61-72,494G2F4S,4dr Sdn SEL Sport,500,0.0499,0.0499,0.0599,0.0699,0.0899,0.0999,0.1099,0.1249
H700,MS,ELANTRA,2026,61-72,494K2F4S,4dr Sdn SEL Sport Premium,500,0.0499,0.0499,0.0599,0.0699,0.0899,0.0999,0.1099,0.1249
H700,MS,ELANTRA,2026,61-72,494L2FT5,4dr Sdn N-Line,500,0.0499,0.0499,0.0599,0.0699,0.0899,0.0999,0.1099,0.1249
H700,MS,ELANTRA,2026,61-72,494M2F4S,4dr Sdn Limited,500,0.0499,0.0499,0.0599,0.0699,0.0899,0.0999,0.1099,0.1249
H700,MS,ELANTRA,2026,73-84,494E2F4S,4dr Sdn SE,500,0.0699,0.0699,0.0799,0.0849,,,,
